"","x","y","hydro","curve","mech","fea"
"1",-0.189222674092978,-0.0516138896365427,1839.9498,8.07,0.185069817400644,1.15516463815856
"2",-0.189222674092978,-0.00363138024603597,1962.8124,6.3,0.192754094804209,1.06214607944654
"3",-0.189222674092978,0.0443511291444708,2089.6946,9.7,0.190930787589499,1.00435181631132
"4",-0.189222674092978,0.0923336385349775,2371.9277,15.44,0.160826985854189,0.856012866483888
"5",-0.133845239206066,-0.0516138896365427,1754.8911,10.21,0.170887445887446,0.718291297981385
"6",-0.133845239206066,-0.00363138024603597,1850.029,8.17,0.179869423286181,0.478306570247455
"7",-0.133845239206066,0.0443511291444708,2084.6969,12,0.191002626970228,1.25132613117579
"8",-0.133845239206066,0.0923336385349775,2279.6122,12,0.175929978118162,1.23575594078876
"9",-0.0784678043191536,-0.0516138896365427,1626.4744,7.36,0.183154200482562,1.10551690297695
"10",-0.0784678043191536,-0.00363138024603597,1765.9377,10.04,0.19325322456179,1.0892459869543
"11",-0.0784678043191536,0.0443511291444708,1949.1606,12.67,0.17822109555825,0.934103238872762
"12",-0.0784678043191536,0.0923336385349775,2177.2295,13.96,0.177394551845343,0.73092515482481
"13",-0.0230903694322413,-0.0516138896365427,1630.2131,13.6,0.198303404208439,1.37700015541031
"14",-0.0230903694322413,-0.00363138024603597,1788.0357,20.35,0.190702822357499,1.36947882602702
"15",-0.0230903694322413,0.0443511291444708,2103.1608,20.81,0.204918936803794,1.21073950770804
"16",-0.0230903694322413,0.0923336385349775,2309.6239,21.68,0.196394792478024,1.17677792132795
"17",0.032287065454671,-0.0516138896365427,1735.2014,25.52,0.227888888888889,1.12021364439782
"18",0.032287065454671,-0.00363138024603597,1896.2889,28.97,0.20844414893617,0.879022413023182
"19",0.032287065454671,0.0443511291444708,2213.9814,30.69,0.21276359600444,1.50190726703516
"20",0.032287065454671,0.0923336385349775,2460.6469,32.61,0.212235817575083,1.55595248272649
"21",0.0876645003415833,-0.0516138896365427,2067.68,30.47,0.228302929795467,1.41341565458518
"22",0.0876645003415833,-0.00363138024603597,1931.5897,38.83,0.225130309415548,1.28048439480285
"23",0.0876645003415833,0.0443511291444708,2275.1508,37.53,0.225192114934848,1.21657612000994
"24",0.0876645003415833,0.0923336385349775,2529.1157,34.96,0.220635447802502,1.0910541026835
